machine_id,operating_hours,estimated_age_years,remaining_useful_life_years,utilization_percent,health_trend
M14860,3102,1.2,8.8,51.7,Stable
L47181,2951,1.2,8.8,46.9,Stable
L47182,3221,1.3,8.7,49.9,Stable
L47183,3181,1.3,8.7,47.8,Stable
L47184,3221,1.3,8.7,46.9,Stable
M14865,3345,1.3,8.7,47.5,Stable
L47186,3746,1.5,8.5,51.9,Stable
L47187,3774,1.5,8.5,50.9,Stable
M14868,4144,1.7,8.3,55.6,Stable
M14869,4427,1.8,8.2,58.0,Stable
H29424,4644,1.9,8.1,59.4,Stable
H29425,4151,1.7,8.3,47.4,Stable
M14872,4208,1.7,8.3,44.6,Stable
M14873,5149,2.1,7.9,58.1,Stable
L47194,5870,2.3,7.7,67.8,Stable
L47195,4974,2.0,8.0,51.4,Stable
M14876,4602,1.8,8.2,43.7,Stable
M14877,4935,2.0,8.0,47.0,Stable
H29432,4862,1.9,8.1,43.5,Stable
M14879,5739,2.3,7.7,54.4,Stable
H29434,5360,2.1,7.9,45.8,Stable
L47201,5735,2.3,7.7,48.3,Stable
M14882,6087,2.4,7.6,52.7,Stable
L47203,6576,2.6,7.4,58.6,Stable
M14884,6272,2.5,7.5,52.0,Stable
L47205,7007,2.8,7.2,62.0,Stable
L47206,6399,2.6,7.4,50.4,Stable
H29441,7087,2.8,7.2,60.4,Stable
L47208,6568,2.6,7.4,48.0,Declining
L47209,7166,2.9,7.1,56.4,Declining
M14890,6548,2.6,7.4,44.6,Declining
L47211,7601,3.0,7.0,59.9,Declining
L47212,6933,2.8,7.2,47.3,Declining
L47213,7515,3.0,7.0,55.5,Declining
M14894,7393,3.0,7.0,52.0,Declining
M14895,7314,2.9,7.1,48.4,Declining
M14896,7707,3.1,6.9,52.7,Declining
L47217,7558,3.0,7.0,48.0,Declining
H29452,7528,3.0,7.0,46.0,Declining
L47219,7695,3.1,6.9,45.0,Declining
L47220,7809,3.1,6.9,45.4,Declining
L47221,7911,3.2,6.8,45.6,Declining
M14902,8001,3.2,6.8,45.6,Declining
H29457,8144,3.3,6.7,45.7,Declining
M14904,8569,3.4,6.6,49.1,Declining
L47225,8738,3.5,6.5,49.6,Declining
M14906,9536,3.8,6.2,61.4,Declining
L47227,8821,3.5,6.5,47.3,Declining
H29462,8925,3.6,6.4,47.5,Declining
M14909,9124,3.6,6.4,47.1,Declining
L47230,12157,4.9,5.1,95.4,Critical
L47231,9291,3.7,6.3,46.1,Declining
H29466,9609,3.8,6.2,49.9,Declining
L47233,9970,4.0,6.0,52.2,Declining
L47234,10312,4.1,5.9,56.4,Declining
L47235,10044,4.0,6.0,50.4,Declining
L47236,10064,4.0,6.0,49.2,Declining
L47237,10226,4.1,5.9,50.4,Declining
M14918,10612,4.2,5.8,55.4,Declining
L47239,10181,4.1,5.9,45.9,Declining
L47240,10301,4.1,5.9,46.4,Declining
M14921,10789,4.3,5.7,53.1,Declining
L47242,11398,4.6,5.4,61.0,Declining
M14923,11454,4.6,5.4,60.4,Declining
L47244,11011,4.4,5.6,50.8,Declining
L47245,10843,4.3,5.7,46.5,Declining
M14926,11503,4.6,5.4,56.0,Critical
H29481,11212,4.5,5.5,48.9,Critical
L47248,11559,4.6,5.4,50.9,Critical
L47249,11415,4.6,5.4,47.0,Critical
M14930,12533,5.0,5.0,64.1,Critical
L47251,11724,4.7,5.3,48.4,Critical
L47252,11648,4.7,5.3,45.6,Critical
L47253,12184,4.9,5.1,53.1,Critical
L47254,12292,4.9,5.1,53.4,Critical
L47255,11938,4.8,5.2,46.0,Critical
L47256,12192,4.9,5.1,48.7,Critical
L47257,12270,4.9,5.1,48.5,Critical
L47258,2796,1.1,8.9,46.6,Stable
L47259,2894,1.2,8.8,46.7,Stable
H29494,3070,1.2,8.8,48.2,Stable
L47261,3305,1.3,8.7,48.3,Stable
L47262,3401,1.4,8.6,48.4,Stable
L47263,3523,1.4,8.6,49.0,Stable
L47264,3519,1.4,8.6,47.4,Stable
