machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,health,maintenance_count,last_service_days,next_service_days,maintenance_type,total_downtime_hours,maintenance_cost,last_failure,operating_hours,estimated_age_years,remaining_useful_life_years,utilization_percent,health_trend,annual_maintenance,retrofit_cost,replacement_cost,expected_life_years,energy_cost_per_year,resale_value,production_loss_per_day
M14860,M,298.1,308.6,1551,42.8,0,Healthy,1,120,180,Preventive,0,750,No,3102,1.2,8.8,51.7,Stable,4500,15000,45000,7,2800,9000,1500
L47181,L,298.2,308.7,1408,46.3,3,Healthy,1,119,179,Preventive,0,450,No,2951,1.2,8.8,46.9,Stable,2500,8000,25000,5,1500,5000,800
L47182,L,298.1,308.5,1498,49.4,5,Healthy,1,118,178,Preventive,0,450,No,3221,1.3,8.7,49.9,Stable,2500,8000,25000,5,1500,5000,800
L47183,L,298.2,308.6,1433,39.5,7,Healthy,1,117,177,Preventive,0,450,No,3181,1.3,8.7,47.8,Stable,2500,8000,25000,5,1500,5000,800
L47184,L,298.2,308.7,1408,40.0,9,Healthy,1,116,176,Preventive,0,450,No,3221,1.3,8.7,46.9,Stable,2500,8000,25000,5,1500,5000,800
M14865,M,298.1,308.6,1425,41.9,11,Healthy,1,115,175,Preventive,0,750,No,3345,1.3,8.7,47.5,Stable,4500,15000,45000,7,2800,9000,1500
L47186,L,298.1,308.6,1558,42.4,14,Healthy,1,113,173,Preventive,1,450,No,3746,1.5,8.5,51.9,Stable,2500,8000,25000,5,1500,5000,800
L47187,L,298.1,308.6,1527,40.2,16,Healthy,1,112,172,Preventive,1,450,No,3774,1.5,8.5,50.9,Stable,2500,8000,25000,5,1500,5000,800
M14868,M,298.3,308.7,1667,28.6,18,Healthy,1,111,171,Preventive,1,750,No,4144,1.7,8.3,55.6,Stable,4500,15000,45000,7,2800,9000,1500
M14869,M,298.5,309.0,1741,28.0,21,Healthy,1,110,170,Preventive,1,750,No,4427,1.8,8.2,58.0,Stable,4500,15000,45000,7,2800,9000,1500
H29424,H,298.4,308.9,1782,23.9,24,Healthy,1,108,168,Preventive,2,1150,No,4644,1.9,8.1,59.4,Stable,7000,25000,70000,10,4200,15000,2500
H29425,H,298.6,309.1,1423,44.3,29,Healthy,1,106,166,Preventive,2,1150,No,4151,1.7,8.3,47.4,Stable,7000,25000,70000,10,4200,15000,2500
M14872,M,298.6,309.1,1339,51.1,34,Healthy,1,103,163,Preventive,2,750,No,4208,1.7,8.3,44.6,Stable,4500,15000,45000,7,2800,9000,1500
M14873,M,298.6,309.2,1742,30.0,37,Healthy,2,102,162,Preventive,3,900,No,5149,2.1,7.9,58.1,Stable,4500,15000,45000,7,2800,9000,1500
L47194,L,298.6,309.2,2035,19.6,40,Healthy,2,100,160,Preventive,3,600,No,5870,2.3,7.7,67.8,Stable,2500,8000,25000,5,1500,5000,800
L47195,L,298.6,309.2,1542,48.4,42,Healthy,2,99,159,Preventive,3,600,No,4974,2.0,8.0,51.4,Stable,2500,8000,25000,5,1500,5000,800
M14876,M,298.6,309.2,1311,46.6,44,Healthy,2,98,158,Preventive,3,900,No,4602,1.8,8.2,43.7,Stable,4500,15000,45000,7,2800,9000,1500
M14877,M,298.7,309.2,1410,45.6,47,Healthy,2,97,157,Preventive,3,900,No,4935,2.0,8.0,47.0,Stable,4500,15000,45000,7,2800,9000,1500
H29432,H,298.8,309.2,1306,54.5,50,Healthy,2,95,155,Preventive,4,1300,No,4862,1.9,8.1,43.5,Stable,7000,25000,70000,10,4200,15000,2500
M14879,M,298.9,309.3,1632,32.5,55,Healthy,2,93,153,Preventive,4,900,No,5739,2.3,7.7,54.4,Stable,4500,15000,45000,7,2800,9000,1500
H29434,H,298.9,309.3,1375,42.7,58,Healthy,2,91,151,Preventive,4,1300,No,5360,2.1,7.9,45.8,Stable,7000,25000,70000,10,4200,15000,2500
L47201,L,298.8,309.3,1450,44.8,63,Healthy,2,89,149,Preventive,5,600,No,5735,2.3,7.7,48.3,Stable,2500,8000,25000,5,1500,5000,800
M14882,M,298.9,309.3,1581,30.7,65,Healthy,2,88,148,Preventive,5,900,No,6087,2.4,7.6,52.7,Stable,4500,15000,45000,7,2800,9000,1500
L47203,L,299.0,309.4,1758,25.7,68,Healthy,2,86,146,Preventive,5,600,No,6576,2.6,7.4,58.6,Stable,2500,8000,25000,5,1500,5000,800
M14884,M,299.0,309.4,1561,37.3,70,Healthy,3,85,145,Preventive,5,1050,No,6272,2.5,7.5,52.0,Stable,4500,15000,45000,7,2800,9000,1500
L47205,L,299.0,309.5,1861,23.3,73,Healthy,3,84,144,Preventive,6,750,No,7007,2.8,7.2,62.0,Stable,2500,8000,25000,5,1500,5000,800
L47206,L,299.1,309.5,1512,39.0,75,Healthy,3,83,143,Preventive,6,750,No,6399,2.6,7.4,50.4,Stable,2500,8000,25000,5,1500,5000,800
H29441,H,299.1,309.4,1811,24.6,77,Healthy,3,82,142,Preventive,6,1450,No,7087,2.8,7.2,60.4,Stable,7000,25000,70000,10,4200,15000,2500
