machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,health
M14860,M,298.1,308.6,1551,42.8,0,Healthy
L47181,L,298.2,308.7,1408,46.3,3,Healthy
L47182,L,298.1,308.5,1498,49.4,5,Healthy
L47183,L,298.2,308.6,1433,39.5,7,Healthy
L47184,L,298.2,308.7,1408,40.0,9,Healthy
M14865,M,298.1,308.6,1425,41.9,11,Healthy
L47186,L,298.1,308.6,1558,42.4,14,Healthy
L47187,L,298.1,308.6,1527,40.2,16,Healthy
M14868,M,298.3,308.7,1667,28.6,18,Healthy
M14869,M,298.5,309.0,1741,28.0,21,Healthy
H29424,H,298.4,308.9,1782,23.9,24,Healthy
H29425,H,298.6,309.1,1423,44.3,29,Healthy
M14872,M,298.6,309.1,1339,51.1,34,Healthy
M14873,M,298.6,309.2,1742,30.0,37,Healthy
L47194,L,298.6,309.2,2035,19.6,40,Healthy
L47195,L,298.6,309.2,1542,48.4,42,Healthy
M14876,M,298.6,309.2,1311,46.6,44,Healthy
M14877,M,298.7,309.2,1410,45.6,47,Healthy
H29432,H,298.8,309.2,1306,54.5,50,Healthy
M14879,M,298.9,309.3,1632,32.5,55,Healthy
H29434,H,298.9,309.3,1375,42.7,58,Healthy
L47201,L,298.8,309.3,1450,44.8,63,Healthy
M14882,M,298.9,309.3,1581,30.7,65,Healthy
L47203,L,299.0,309.4,1758,25.7,68,Healthy
M14884,M,299.0,309.4,1561,37.3,70,Healthy
L47205,L,299.0,309.5,1861,23.3,73,Healthy
L47206,L,299.1,309.5,1512,39.0,75,Healthy
H29441,H,299.1,309.4,1811,24.6,77,Healthy
L47208,L,299.1,309.4,1439,44.2,82,Medium
L47209,L,299.0,309.4,1693,30.1,84,Medium
M14890,M,299.1,309.5,1339,48.2,86,Medium
L47211,L,299.0,309.4,1798,25.5,89,Medium
L47212,L,299.0,309.4,1419,48.3,91,Medium
L47213,L,298.9,309.3,1665,32.5,93,Medium
M14894,M,298.8,309.1,1559,34.7,95,Medium
M14895,M,298.8,309.2,1452,48.6,98,Medium
M14896,M,298.9,309.2,1581,36.7,101,Medium
L47217,L,298.8,309.1,1439,39.2,104,Medium
H29452,H,298.9,309.2,1379,50.7,106,Medium
L47219,L,298.8,309.1,1350,52.5,111,Medium
L47220,L,298.8,309.1,1362,45.4,113,Medium
L47221,L,298.8,309.1,1368,50.8,115,Medium
M14902,M,298.8,309.1,1368,49.1,117,Medium
H29457,H,298.8,309.2,1372,48.5,120,Medium
M14904,M,298.8,309.1,1472,47.5,125,Medium
L47225,L,298.8,309.1,1489,49.1,128,Medium
M14906,M,298.7,309.0,1843,25.8,130,Medium
L47227,L,298.8,309.1,1418,46.3,133,Medium
H29462,H,298.8,309.2,1425,53.9,135,Medium
M14909,M,298.9,309.2,1412,44.1,140,Medium
L47230,L,298.9,309.1,2861,4.6,143,Critical
L47231,L,298.9,309.1,1383,54.9,145,Medium
H29466,H,298.8,309.0,1497,43.8,147,Medium
L47233,L,298.7,309.0,1565,35.1,152,Medium
L47234,L,298.7,309.0,1691,30.1,154,Medium
L47235,L,298.8,309.1,1512,40.7,156,Medium
L47236,L,298.8,309.1,1477,42.4,158,Medium
L47237,L,298.8,309.1,1513,40.3,160,Medium
M14918,M,298.8,309.0,1661,29.5,162,Medium
L47239,L,298.8,309.1,1378,54.4,165,Medium
L47240,L,298.8,309.1,1393,52.6,167,Medium
M14921,M,298.8,309.0,1592,38.2,169,Medium
L47242,L,298.8,309.0,1829,22.9,172,Medium
M14923,M,298.9,309.0,1812,25.9,174,Medium
L47244,L,299.0,309.1,1523,38.6,177,Medium
L47245,L,299.0,309.1,1394,45.1,179,Medium
M14926,M,298.9,308.9,1679,28.7,181,Critical
H29481,H,298.8,308.9,1466,44.1,184,Critical
L47248,L,298.8,308.9,1527,32.4,189,Critical
L47249,L,298.9,309.0,1410,65.7,191,Critical
M14930,M,298.9,309.0,1924,22.6,193,Critical
L47251,L,298.9,309.1,1452,45.5,196,Critical
L47252,L,298.9,309.1,1369,44.4,198,Critical
L47253,L,299.0,309.1,1592,35.0,200,Critical
L47254,L,298.9,309.0,1601,32.3,202,Critical
L47255,L,298.8,308.9,1379,46.7,204,Critical
L47256,L,298.8,308.9,1461,47.9,206,Critical
L47257,L,298.8,308.9,1455,41.3,208,Critical
L47258,L,298.8,308.9,1398,51.5,0,Healthy
L47259,L,298.8,308.9,1402,37.9,2,Healthy
H29494,H,298.8,308.8,1445,49.9,4,Healthy
L47261,L,298.9,308.9,1450,47.5,9,Healthy
L47262,L,298.9,308.9,1453,40.8,11,Healthy
L47263,L,299.0,309.0,1469,40.1,13,Healthy
L47264,L,298.9,308.9,1422,47.6,15,Healthy
M14945,M,299.0,309.0,1804,26.8,17,Healthy
H29500,H,299.0,309.0,1436,43.9,20,Healthy
L47267,L,299.0,309.0,1544,31.8,25,Healthy
M14948,M,299.0,309.0,1419,45.2,27,Healthy
M14949,M,298.9,308.9,1487,39.5,30,Healthy
L47270,L,298.9,308.9,1753,25.8,33,Healthy
L47271,L,298.9,308.9,1830,24.9,35,Healthy
M14952,M,298.9,308.9,1727,27.1,37,Healthy
L47273,L,299.1,309.0,1450,43.0,40,Healthy
L47274,L,299.0,308.9,1622,31.9,42,Healthy
M14955,M,299.0,309.0,1351,52.2,44,Healthy
M14956,M,299.0,309.0,1575,35.3,47,Healthy
M14957,M,298.9,308.9,1750,29.9,50,Healthy
L47278,L,298.9,308.8,1529,32.7,53,Healthy
L47279,L,298.8,308.8,1523,44.4,55,Healthy
L47280,L,298.8,308.9,1852,25.0,57,Healthy
L47281,L,298.8,308.8,1991,20.7,59,Healthy
L47282,L,298.8,308.8,1555,40.6,61,Healthy
M14963,M,298.8,308.8,1441,40.5,63,Healthy
L47284,L,298.8,308.7,1450,43.4,66,Healthy
L47285,L,298.8,308.7,1591,31.1,68,Healthy
L47286,L,298.8,308.7,1445,48.5,70,Healthy
M14967,M,298.8,308.8,1497,46.8,72,Healthy
H29522,H,298.9,308.8,1621,32.7,75,Healthy
L47289,L,298.9,308.7,1572,34.1,80,Medium
L47290,L,298.8,308.6,1872,22.5,82,Medium
H29525,H,298.7,308.6,1499,43.5,84,Medium
M14972,M,298.8,308.7,1498,39.5,89,Medium
M14973,M,298.8,308.6,1486,41.9,92,Medium
L47294,L,298.8,308.6,1680,29.4,95,Medium
L47295,L,298.8,308.6,1431,45.7,97,Medium
L47296,L,298.9,308.7,1564,34.1,99,Medium
L47297,L,298.8,308.6,1599,33.0,101,Medium
M14978,M,298.8,308.6,1707,28.1,103,Medium
L47299,L,298.7,308.5,1467,40.7,106,Medium
L47300,L,298.9,308.7,1433,44.7,108,Medium
L47301,L,298.9,308.7,1558,41.2,110,Medium
L47302,L,299.0,308.8,1310,50.7,112,Medium
L47303,L,298.9,308.7,1546,43.4,114,Medium
L47304,L,298.9,308.7,1727,29.4,116,Medium
L47305,L,298.9,308.6,1560,32.2,118,Medium
L47306,L,299.0,308.6,1329,60.5,120,Medium
L47307,L,298.9,308.6,1413,46.5,122,Medium
L47308,L,299.0,308.6,1587,38.6,124,Medium
L47309,L,298.9,308.5,1559,34.3,126,Medium
L47310,L,298.8,308.4,1473,41.1,128,Medium
L47311,L,298.8,308.4,1737,27.7,130,Medium
M14992,M,298.7,308.4,1441,43.2,132,Medium
M14993,M,298.7,308.4,1430,49.6,135,Medium
L47314,L,298.8,308.4,1369,53.0,138,Medium
M14995,M,298.8,308.5,1711,28.5,140,Medium
H29550,H,298.7,308.5,1420,45.7,143,Medium
L47317,L,298.7,308.6,1297,55.3,148,Medium
H29552,H,298.8,308.6,1449,49.4,150,Medium
L47319,L,298.8,308.6,1268,55.8,155,Medium
L47320,L,298.8,308.6,1511,36.1,157,Medium
L47321,L,298.7,308.5,1544,35.2,159,Medium
M15002,M,298.6,308.4,1778,28.2,161,Medium
H29557,H,298.6,308.4,1407,50.5,164,Medium
M15004,M,298.6,308.4,1391,42.4,169,Medium
L47325,L,298.5,308.4,1513,33.6,172,Medium
H29560,H,298.5,308.4,1612,36.1,174,Medium
L47327,L,298.4,308.4,1515,40.1,179,Medium
M15008,M,298.3,308.3,1379,48.0,181,Critical
L47329,L,298.4,308.3,1473,39.9,184,Critical
L47330,L,298.4,308.3,1422,42.7,186,Critical
M15011,M,298.4,308.2,1463,37.6,188,Critical
M15012,M,298.4,308.2,1584,41.0,191,Critical
L47333,L,298.4,308.2,1850,27.0,194,Critical
L47334,L,298.4,308.2,1528,36.2,196,Critical
H29569,H,298.4,308.2,1987,19.8,198,Critical
M15016,M,298.4,308.1,1495,46.0,203,Critical
H29571,H,298.4,308.2,1478,43.5,206,Critical
M15018,M,298.4,308.2,1499,40.0,211,Critical
L47339,L,298.4,308.2,1471,47.0,214,Critical
L47340,L,298.4,308.2,1282,60.7,216,Critical
L47341,L,298.3,308.1,1412,52.3,218,Critical
L47342,L,298.3,308.1,1586,35.5,0,Healthy
M15023,M,298.4,308.2,1468,43.8,2,Healthy
M15024,M,298.5,308.3,1440,43.6,5,Healthy
L47345,L,298.5,308.4,1733,26.0,8,Healthy
H29580,H,298.4,308.2,1612,32.6,10,Healthy
H29581,H,298.4,308.3,1458,42.9,15,Healthy
L47348,L,298.4,308.3,1433,62.3,20,Critical
L47349,L,298.4,308.3,1318,59.1,22,Healthy
M15030,M,298.4,308.2,1610,35.0,24,Healthy
L47351,L,298.2,308.1,1462,50.8,27,Healthy
M15032,M,298.1,308.0,1924,20.8,29,Healthy
M15033,M,298.2,308.0,1591,33.7,32,Healthy
L47354,L,298.2,308.1,1306,58.3,35,Healthy
L47355,L,298.2,308.1,1382,43.5,37,Healthy
L47356,L,298.2,308.1,1618,34.7,39,Healthy
L47357,L,298.2,308.2,1988,21.4,41,Healthy
L47358,L,298.2,308.2,1436,50.2,43,Healthy
L47359,L,298.2,308.3,1304,49.8,45,Healthy
L47360,L,298.2,308.3,1475,49.9,47,Healthy
H29595,H,298.2,308.3,1824,24.2,49,Healthy
M15042,M,298.1,308.2,1342,48.1,54,Healthy
L47363,L,298.1,308.2,1485,40.7,57,Healthy
L47364,L,298.2,308.2,1667,30.6,59,Healthy
L47365,L,298.2,308.2,1446,38.2,61,Healthy
L47366,L,298.1,308.3,1301,56.0,63,Healthy
L47367,L,298.2,308.4,1379,43.1,65,Healthy
L47368,L,298.3,308.5,1606,33.6,67,Healthy
M15049,M,298.3,308.4,1539,43.4,69,Healthy
L47370,L,298.2,308.4,1477,49.9,72,Healthy
L47371,L,298.2,308.4,1666,34.6,74,Healthy
H29606,H,298.2,308.4,1398,51.8,76,Healthy
H29607,H,298.2,308.4,1678,34.6,81,Medium
M15054,M,298.2,308.5,2678,10.7,86,Critical
L47375,L,298.3,308.5,1453,42.9,89,Medium
H29610,H,298.3,308.6,1432,49.5,91,Medium
M15057,M,298.4,308.6,1527,40.9,96,Medium
L47378,L,298.4,308.7,1588,35.0,99,Medium
L47379,L,298.4,308.6,1433,47.1,101,Medium
L47380,L,298.4,308.6,1609,35.0,103,Medium
L47381,L,298.3,308.5,1575,41.2,105,Medium
M15062,M,298.4,308.5,1636,35.7,107,Medium
L47383,L,298.4,308.5,1490,37.9,110,Medium
L47384,L,298.4,308.5,1741,32.8,112,Medium
M15065,M,298.5,308.6,1344,53.0,114,Medium
L47386,L,298.5,308.7,1609,35.3,117,Medium
M15067,M,298.4,308.7,1421,60.7,119,Critical
L47388,L,298.4,308.6,1591,36.7,122,Medium
L47389,L,298.4,308.6,1477,44.0,124,Medium
L47390,L,298.4,308.7,1523,36.1,126,Medium
L47391,L,298.5,308.7,1575,33.9,128,Medium
H29626,H,298.4,308.7,1344,52.9,130,Medium
L47393,L,298.4,308.7,1386,44.9,135,Medium
M15074,M,298.3,308.6,1589,37.1,137,Medium
L47395,L,298.3,308.6,1548,40.3,140,Medium
L47396,L,298.3,308.6,1499,38.3,142,Medium
L47397,L,298.3,308.5,1664,31.6,144,Medium
L47398,L,298.3,308.6,1447,38.1,146,Medium
M15079,M,298.3,308.5,1434,46.2,148,Medium
L47400,L,298.3,308.5,1416,52.7,151,Medium
H29635,H,298.4,308.5,1827,24.3,153,Medium
L47402,L,298.4,308.6,1304,45.0,158,Medium
L47403,L,298.4,308.6,1569,34.4,160,Medium
L47404,L,298.3,308.6,1584,29.3,162,Medium
L47405,L,298.3,308.5,1362,53.8,164,Medium
L47406,L,298.3,308.4,1329,49.2,166,Medium
L47407,L,298.3,308.5,1539,36.1,168,Medium
M15088,M,298.3,308.5,1629,37.1,170,Medium
L47409,L,298.3,308.5,1538,32.2,173,Medium
L47410,L,298.3,308.6,1570,34.8,175,Medium
L47411,L,298.3,308.4,1408,43.1,177,Medium
L47412,L,298.2,308.4,1424,47.6,179,Medium
L47413,L,298.2,308.4,1512,34.9,181,Critical
L47414,L,298.2,308.4,1478,42.9,183,Critical
M15095,M,298.1,308.3,1680,33.7,185,Critical
L47416,L,298.1,308.3,1495,38.7,188,Critical
M15097,M,298.0,308.1,1552,36.6,190,Critical
L47418,L,297.9,308.1,1393,50.3,193,Critical
L47419,L,298.0,308.2,1611,30.6,195,Critical
M15100,M,298.0,308.1,1339,51.6,197,Critical
L47421,L,298.0,308.1,1777,24.3,200,Critical
L47422,L,298.0,308.2,1348,58.8,202,Critical
L47423,L,298.0,308.2,1442,44.1,204,Critical
M15104,M,298.0,308.2,1395,49.1,206,Critical
M15105,M,297.9,308.1,1627,31.4,209,Critical
L47426,L,297.9,308.1,1585,33.5,212,Critical
L47427,L,298.0,308.2,1469,45.5,214,Critical
L47428,L,298.0,308.3,1362,56.8,216,Critical
L47429,L,298.0,308.3,1405,56.2,218,Critical
L47430,L,298.0,308.3,1662,32.7,0,Healthy
M15111,M,298.0,308.2,1466,42.6,2,Healthy
L47432,L,298.0,308.2,1620,35.8,5,Healthy
L47433,L,298.0,308.2,1357,48.2,7,Healthy
L47434,L,298.0,308.2,1514,37.9,9,Healthy
