machine_id,maintenance_count,last_service_days,next_service_days,maintenance_type,total_downtime_hours,maintenance_cost,last_failure
M14860,1,120,180,Preventive,0,750,No
L47181,1,119,179,Preventive,0,450,No
L47182,1,118,178,Preventive,0,450,No
L47183,1,117,177,Preventive,0,450,No
L47184,1,116,176,Preventive,0,450,No
M14865,1,115,175,Preventive,0,750,No
L47186,1,113,173,Preventive,1,450,No
L47187,1,112,172,Preventive,1,450,No
M14868,1,111,171,Preventive,1,750,No
M14869,1,110,170,Preventive,1,750,No
H29424,1,108,168,Preventive,2,1150,No
H29425,1,106,166,Preventive,2,1150,No
M14872,1,103,163,Preventive,2,750,No
M14873,2,102,162,Preventive,3,900,No
L47194,2,100,160,Preventive,3,600,No
L47195,2,99,159,Preventive,3,600,No
M14876,2,98,158,Preventive,3,900,No
M14877,2,97,157,Preventive,3,900,No
H29432,2,95,155,Preventive,4,1300,No
M14879,2,93,153,Preventive,4,900,No
H29434,2,91,151,Preventive,4,1300,No
L47201,2,89,149,Preventive,5,600,No
M14882,2,88,148,Preventive,5,900,No
L47203,2,86,146,Preventive,5,600,No
M14884,3,85,145,Preventive,5,1050,No
L47205,3,84,144,Preventive,6,750,No
L47206,3,83,143,Preventive,6,750,No
H29441,3,82,142,Preventive,6,1450,No
L47208,3,79,139,Preventive,6,750,No
L47209,3,78,138,Preventive,7,750,No
M14890,3,77,137,Preventive,7,1050,No
L47211,3,76,136,Preventive,7,750,No
L47212,3,75,135,Preventive,7,750,No
L47213,3,74,134,Preventive,7,750,No
M14894,3,73,133,Preventive,7,1050,No
M14895,3,71,131,Preventive,8,1050,No
M14896,3,70,130,Preventive,8,1050,No
L47217,3,68,128,Preventive,8,750,No
H29452,4,67,127,Preventive,8,1600,No
L47219,4,65,125,Preventive,9,900,No
L47220,4,64,124,Preventive,9,900,No
L47221,4,63,123,Preventive,9,900,No
M14902,4,62,122,Preventive,9,1200,No
H29457,4,60,120,Corrective,10,1600,No
M14904,4,58,118,Corrective,10,1200,No
L47225,4,56,116,Corrective,10,900,No
M14906,4,55,115,Corrective,10,1200,No
L47227,4,54,114,Corrective,11,900,No
H29462,4,53,113,Corrective,11,1600,No
M14909,5,50,110,Corrective,11,1350,No
L47230,7,49,109,Emergency,35,1350,Yes
L47231,5,48,108,Corrective,12,1050,No
H29466,5,47,107,Corrective,12,1750,No
L47233,5,44,104,Corrective,12,1050,No
L47234,5,43,103,Corrective,12,1050,No
L47235,5,42,102,Corrective,13,1050,No
L47236,5,41,101,Corrective,13,1050,No
L47237,5,40,100,Corrective,13,1050,No
M14918,5,39,99,Corrective,13,1350,No
L47239,5,38,98,Corrective,13,1050,No
L47240,5,37,97,Corrective,13,1050,No
M14921,5,36,96,Corrective,14,1350,No
L47242,5,34,94,Corrective,14,1050,No
M14923,5,33,93,Corrective,14,1350,No
L47244,6,32,92,Corrective,14,1200,No
L47245,6,31,91,Corrective,14,1200,No
M14926,6,30,90,Corrective,15,1500,No
H29481,6,28,88,Corrective,15,1900,No
L47248,6,26,86,Corrective,15,1200,No
L47249,8,25,85,Emergency,39,1500,Yes
M14930,6,24,84,Corrective,16,1500,No
L47251,6,22,82,Corrective,16,1200,No
L47252,6,21,81,Corrective,16,1200,No
L47253,6,20,80,Corrective,16,1200,No
L47254,6,19,79,Corrective,16,1200,No
L47255,6,18,78,Corrective,17,1200,No
L47256,6,17,77,Corrective,17,1200,No
L47257,8,16,76,Emergency,41,1500,Yes
L47258,1,120,180,Preventive,0,450,No
L47259,1,119,179,Preventive,0,450,No
H29494,1,118,178,Preventive,0,1150,No
L47261,1,116,176,Preventive,0,450,No
L47262,1,115,175,Preventive,0,450,No
L47263,1,114,174,Preventive,1,450,No
L47264,1,113,173,Preventive,1,450,No
M14945,1,112,172,Preventive,1,750,No
H29500,1,110,170,Preventive,1,1150,No
L47267,1,108,168,Preventive,2,450,No
M14948,1,107,167,Preventive,2,750,No
M14949,1,105,165,Preventive,2,750,No
L47270,1,104,164,Preventive,2,450,No
L47271,2,103,163,Preventive,2,600,No
M14952,2,102,162,Preventive,3,900,No
L47273,2,100,160,Preventive,3,600,No
L47274,2,99,159,Preventive,3,600,No
M14955,2,98,158,Preventive,3,900,No
M14956,2,97,157,Preventive,3,900,No
M14957,2,95,155,Preventive,4,900,No
L47278,2,94,154,Preventive,4,600,No
L47279,2,93,153,Preventive,4,600,No
L47280,2,92,152,Preventive,4,600,No
L47281,2,91,151,Preventive,4,600,No
L47282,2,90,150,Preventive,5,600,No
M14963,2,89,149,Preventive,5,900,No
L47284,2,87,147,Preventive,5,600,No
L47285,2,86,146,Preventive,5,600,No
L47286,3,85,145,Preventive,5,750,No
M14967,3,84,144,Preventive,6,1050,No
H29522,3,83,143,Preventive,6,1450,No
L47289,3,80,140,Preventive,6,750,No
L47290,3,79,139,Preventive,6,750,No
H29525,3,78,138,Preventive,7,1450,No
M14972,3,76,136,Preventive,7,1050,No
M14973,3,74,134,Preventive,7,1050,No
L47294,3,73,133,Preventive,7,750,No
L47295,3,72,132,Preventive,8,750,No
L47296,3,71,131,Preventive,8,750,No
L47297,3,70,130,Preventive,8,750,No
M14978,3,69,129,Preventive,8,1050,No
L47299,4,67,127,Preventive,8,900,No
L47300,4,66,126,Preventive,9,900,No
L47301,4,65,125,Preventive,9,900,No
L47302,4,64,124,Preventive,9,900,No
L47303,4,63,123,Preventive,9,900,No
L47304,4,62,122,Preventive,9,900,No
L47305,4,61,121,Preventive,9,900,No
L47306,4,60,120,Corrective,10,900,No
L47307,4,59,119,Corrective,10,900,No
L47308,4,58,118,Corrective,10,900,No
L47309,4,57,117,Corrective,10,900,No
L47310,4,56,116,Corrective,10,900,No
L47311,4,55,115,Corrective,10,900,No
M14992,4,54,114,Corrective,11,1200,No
